40502508;30415210
40600063;1AA10FJB8
40600065;1AA12FJA12
40600067;1AA16FJ16
40600068;1AA16FJA16
40600069;1AA16FJB16
40600070;1AA4FJ4
40600071;1AA4FJA4
40600072;1AA4FJB4
40600073;1AA6FJ4
40600074;1AA6FJ6
40600076;1AA6FJA6
40600082;1AA8FJA8
40600084;1AA8FJB8
40600087;1B16FL16
40600119;PRT-12
40600122;PRT-6
40600123;PRT-8
40600212;836747124
41000022;112570
41000049;241100
41000076;3899412
41000108;80375710
41000120;82068000
41000122;82080100
41000127;82607600
41000128;82607600
41000133;83430800
41000151;88109535
41000400;836129978
41000501;836647576
41000514;209160
41000645;83431300
41000833;87330024
41000895;82613800
41000900;80266510
41000906;82019400
41000907;836755007
41000918;82066400
41000920;83433900
41000923;52198
41000935;84491160
41000938;001603
41000949;836747124
41000950;47772060
41000951;47772064
41000952;47529018
41000953;4897817
41000954;87358040
41400002;00181711
41400014;112560
41400016;114330
41400031;204170
41400041;3892347
41400127;GP3932
41400128;GP3940
41400130;GP3942
41400131;GP3919
41400171;1490269
41400203;10021315
41400219;205490
41400247;8015600
41400261;CI100000
41400262;CI110000
41400280;KG1038
41400281;KG1073
41400314;00130076
41400317;00131478
41400320;00135806
41400325;00605812
41400326;00605814
41400327;00605827
41400328;00605829
41400329;00606154
41400331;00608223
41400378;3003163
41400403;440780
41400404;449258A1
41400417;596220
41400421;615190
41400438;87219060
41400442;87242111
41400445;87255401
41400533;134167A1
41400553;JD0408
41400555;JD0416
41400556;JD0420
41400557;JD0424
41400559;JD3108
41400561;JD3116
41400612;49581227
41400621;87250531
41400625;WA120000
41400627;WB080000
41400629;WB100000
41400630;WB120000
41400631;WB160000
41400661;87255100
41400743;JE3103
41400759;JE3101
41400761;JE3108
41400762;JE3125
41400768;87240652
41400823;KG9138
41400874;00136030
41400888;00601606
41400895;00605328
41400896;00605373
41400898;00605425
41400904;00607865
41400931;119050
41400982;200550
41400983;200551
41401011;31337700
41401017;32547600
41401020;3335044
41401053;4097820
41401089;586150
41401090;589270
41401132;80909700
41401135;81869630
41401139;82793600
41401147;84585200
41401148;859750
41401149;87108400
41401152;87578477
41401153;87578478
41401154;87579312
41401781;FA05025
41401783;FA106020
41401789;FA108030
41401792;FA112040
41401796;FA116025
41401797;FA116035
41401805;FA112020
41401807;FA112030
41401808;FA116045
41401810;FC106050
41401814;FC1.06025
41401821;FD108040
41401833;FL103006
41401835;FM106035
41401841;FX120200
41401851;HA6325
41401855;HA6357
