40200020;1161935
40200108;TQ1002077
40501207;BX172
40501511;182040
40600146;963507
40600610;450043
40600670;1672231
40600913;01604T011
40601024;976959
40601064;01604T04I
40601068;01604T021
40601082;01806PM01M
40601170;
40901289;20806927
41000020;100215
41000047;21312237
41000069;351574
41000117;8156033
41000164;973872
41000331;980830
41000341;1507966
41000399;20476865
41000554;21766699
41000557;21312236
41000592;1544565
41000593;1664607
41000597;969015
41000603;20367063
41000694;58698
41000814;85110486
41000827;20504127
41000847;20542213
41000861;20708192
41000904;P100R1AT
41000910;943369
41000912;85105453
41000913;85105454
41000941;2226493
41000942;22282711
41000955;1946652
41000994;4803746
41400025;154256
41400026;1542776
41400027;1542778
41400044;475499
41400080;943479
41400207;1275379
41400209;1523318
41400211;1542780
41400212;1542781
41400229;382779
41400233;423057
41400253;951668
41400255;966716
41400354;1527472
41400455;941916
41400457;955892
41400459;955903
41400461;965862
41400798;159040
41400819;8121354
41400951;1527386
41400953;1589009
41400956;1672273
41400990;20524942
41401200;945698
41401204;946545
41401208;955578
41401209;959251
41401213;962942
41401215;963340
41401218;966367
41401219;966713
41401220;968298
41401222;970947
41401225;973275
41401229;993079
41401828;1798
41401968;1573081
41401969;1573082
41402002;1695665
41402026;6889198
41402048;9519836
41402049;963179
41402071;951983
41402163;1522293
41402164;1522384
41402165;1577510
41402186;21303956
41402319;943491
41402320;943805
41402321;945676
41402323;945958
41402328;969317
41402329;971069
41402331;971099
41402333;979020
41402334;979022
41402337;984405
41402467;
41402615;1522986
41402618;21062323
41402640;953353
41402670;17432
41402718;1607435
41402731;468740
41402976;8150742
41402987;20515515
41403067;963166
41403142;GB21013
41403151;20732197
41403190;20427685
41403264;994102
41403268;284212
41403388;20506584
41403421;8150741
41403424;945444
41403427;990971
41403439;981208
41403467;945338
41403472;955897
41403546;99068
41403548;984049
41403554;942402
41403558;423350
41403574;1503673
41403575;946817
41403588;984739
41403715;1613081
41403717;992479
41403724;992088
41403725;879872
41403726;914463/27394
41403727;1589007
41403728;3191997
41403730;1522380
41403763;3093651
41403907;4370004070
41403909;959803
41403937;130403
41403938;990953
41403939;955725
41403942;984859
41404043;1544650
41404068;06LPO980464
41404073;25640751
41404076;980464
41404081;984762
41404082;992085
41404092;993975
41404106;990950
41404122;357965
41404153;20721775
41404199;2104
41404213;3169900114
41404216;3150210
41404217;10001104
41404263;0360010
41404280;984410
41404310;1000101
41404318;990951
41404357;995055
41404358;990945
41404398;1522906
41404401;6897435
41404402;1590934
41404460;1522347
41404480;1673393
41404503;993473
41404504;990805
41404521;20852764
41404523;1108053
41404548;6120
41404771;352
41404837;8880078390
41404865;VO1629908
41404889;8171338
41404890;1652176
41404893;1521886
41404939;1521476
41404940;71097000
41404954;1668459
41404975;022050
