41701672;02062BA;16113
41701673;02077/834216;"Código não encontrado"
41701674;02084BAG;"Código não encontrado"
41701675;02099BA;17115
41701675;02099BA;15651
41701675;02099BA;16144
41701676;02100BAG;16145
41701677;02102BA;16146
41701678;02106GA;"Código não encontrado"
41701679;02107GA;16156
41701683;02223B;16253
41701685;02289BA/90023-10008;"Código não encontrado"
41701687;02370BRAGE;16356
41701688;02376BRG;16363
41701690;02381BA;16367
41701691;02477BRG;"Código não encontrado"
41701692;02530BRG;16485
41701692;02530BRG;16486
41701693;02574BR;16517
41701694;02578;"Código não encontrado"
41701696;02667BRG;"Código não encontrado"
41701697;02730BRG;16638
41701856;00819BR;15355
41701906;01959BR;"Código não encontrado"
41701698;02792BAG;16654
41701944;02933BRG;17375
41701944;02933BRG;16720
41701944;02933BRG;16718
41701944;02933BRG;16719
41701700;02985;19208
41701913;3025;"Código não encontrado"
41701701;04564ASBB;"Código não encontrado"
41701702;06285;"Código não encontrado"
41701706;12547;12547
41701707;15754;"Código não encontrado"
41702585;00276;"Código não encontrado"
41703352;00505;"Código não encontrado"
41701958;00761BR;15306
41702706;01735BG;15809
41703395;01767;"Código não encontrado"
41702797;01945BRG;"Código não encontrado"
41703546;01986BR;"Código não encontrado"
41702798;02283BRG;"Código não encontrado"
41703411;02438BRG;16414
41703604;00423;"Código não encontrado"
41705035;913;"Código não encontrado"
41703659;01669BR;15769
