41701306;3459977646
41701472;00007B
41701473;00009BR
41701474;00016B
41701475;00042BR
41701476;00043BA
41701477;00045B
41701478;00046BR
41701479;00056B
41701480;00063BRG
41701481;00069B
41701483;00085B
41701485;00093BA
41701486;00116B
41701487;00118BAG
41701488;00121BA
41701489;00128BR
41701490;00136BA
41701491;00145B
41701492;00162BR
41701493;00164BR
41701495;00218B
41701496;00223BR
41701497;00228
41701498;00228BAG
41701499;00229B
41701501;00231
41701502;00253
41701503;00268BR
41701505;00273B
41701507;00291BR
41701508;00310B
41701509;00310BR
41701510;00321BA
41701511;00357
41701512;00359BR
41701513;00362
41701514;00371B
41701515;00378B
41701516;00379BR
41701517;00434
41701518;00439BR
41701519;00459BR
41701520;00463BR
41701522;00484BA
41701523;00485BA
41701524;00490BR
41701525;00491B
41701526;00496BRG
41701527;00497BRG
41701528;00498BR
41701530;00500BAG
41701531;00501BR
41701532;00502BR
41701533;00503BR
41701535;00506BR
41701536;00509BR
41701537;00514BR
41701538;00516BG
41701539;00517BR
41701540;00520BR
41701543;00563BR
41701544;00566BA
41701545;00573B
41701546;00610BR
41701547;00612BR
41701548;00618BAG
41701550;00642B
41701551;00694B
41701554;00758BR
41701555;00762BR
41701556;00775BA
41701557;00788BAG
41701560;00797BR
41701561;00801BR
41701562;00803BAG
41701563;00804BR
41701564;00815BR
41701566;01657BA
41701567;00824
41701568;00829BR
41701569;00834BR
41701570;00837B
41701573;00866BR
41701574;00897BR
41701575;00902BR
41701576;00903BA
41701577;00909BR
41701578;00911BRG
41701581;00916BA
41701583;00926BR
41701584;00932BR
41701585;00946BR
41701586;00947BR
41701589;00962BR
41701590;00964B
41701591;00977BR
41701592;01035
41701593;01046BAG
41701594;01095BR
41701595;01097BR
41701596;01109BR
41701598;01116BR
41701599;01135
41701602;01160BR
41701603;01180BR
41701604;01181BR
41701606;01193BR
41701607;01194BR
41701608;01207BAG
41701609;01252BGO
41701610;01262BAG
41701611;01340BR
41701612;01375BR
41701614;01392BAG
41701615;01395B
41701616;01397BA
41701617;01422BR
41701618;01424BR
41701619;01454BG
41701621;01491BA
41701622;01495BR
41701623;01515BR
41701624;01526BRG
41701625;01543BR
41701626;01549BR
41701627;01550BR
41701628;01551BR
41701629;01552BR
41701631;01576BAG
41701632;01580B
41701634;01656BR
41701635;SABO01660
41701636;01667BR
41701637;01684BRG
41701639;01695BR
41701640;01707BRG
41701642;01721BR
41701647;01755BA
41701648;01756GGGO
41701649;01770
41701650;01774BRG
41701651;01798BAG
41701652;01801B
41701653;01811B
41701654;01817BA
41701655;01828B
41701656;01829B
41701657;01870GA
41701658;01884BG
41701660;01892BRG
41701661;01902BR
41701662;01903BR
41701663;01907BR
41701664;01909BR
41701665;01923BG
41701667;01949BR
41701668;01951BR
41701669;01985BR
41701670;01988BRG
41701671;02031BR
41701672;02062BA
41701673;02077/834216
41701674;02084BAG
41701675;02099BA
41701676;02100BAG
41701677;02102BA
41701678;02106GA
41701679;02107GA
41701683;02223B
41701685;02289BA/90023-10008
41701687;02370BRAGE
41701688;02376BRG
41701690;02381BA
41701691;02477BRG
41701692;02530BRG
41701693;02574BR
41701694;02578
41701696;02667BRG
41701697;02730BRG
41701698;02792BAG
41701700;02985
41701701;04564ASBB
41701702;06285
41701704;
41701706;12547
41701707;15754
41701856;00819BR
41701906;01959BR
41701913;3025
41701944;02933BRG
41701958;00761BR
41702585;00276
41702706;01735BG
41702797;01945BRG
41702798;02283BRG
41702951;02283BRG
41703352;00505
41703395;01767
41703411;02438BRG
41703546;01986BR
41703604;00423
41703659;01669BR
41705035;913
